100,72,14
101,44,29
102,5,20
103,88,39
104,2,10
105,4,69
106,88,3
107,6,58
108,62,74
109,91,65
110,4,92
111,27,24
112,88,55
113,77,47
114,69,1
115,39,41
116,3,73
117,57,75
118,21,91
119,92,12
120,29,27
121,90,77
122,14,93
123,10,21
124,99,43
125,86,82
126,23,44
127,89,80
128,86,19
129,40,49
130,43,41
131,70,1
132,70,62
133,65,14
134,46,31
135,36,70
136,82,78
137,35,77
138,2,49
139,10,95
140,45,56
141,47,25
142,14,57
143,18,58
144,83,76
145,88,2
146,51,42
147,68,87
148,57,88
149,6,51
150,27,95
151,74,68
152,7,16
153,99,44
154,9,12
155,77,36
156,9,44
157,4,87
158,93,45
159,87,13
160,44,6
161,30,69
162,42,34
163,18,39
164,10,48
165,19,13
166,43,58
167,68,49
168,81,78
169,17,98
170,57,73
171,49,71
172,99,51
173,92,7
174,38,81
175,93,11
176,1,92
177,6,20
178,64,5
179,26,73
180,97,60
181,33,61
182,92,63
183,93,50
184,75,54
185,6,14
186,27,89
187,56,70
188,57,59
189,70,90
190,41,11
191,0,29
192,54,7
193,12,50
194,51,48
195,84,75
196,52,44
197,0,97
198,39,88
199,78,35
